x,y,z,rx,ry,rz
4.540344999999999800e+02,-8.181292000000000542e+01,2.280149999999999864e+02,1.601246999999999900e+02,-7.895763999999999783e+00,1.049256000000000029e+02
4.814549999999999841e+02,-7.925256000000000256e+01,2.280115000000000123e+02,1.601260000000000048e+02,-7.896317999999999948e+00,9.337300999999999362e+01
4.814531999999999812e+02,-3.031595000000000084e+01,2.280066999999999950e+02,1.606872999999999934e+02,1.654736999999999902e+00,9.334346999999999639e+01
4.890584999999999809e+02,-3.965742999999999796e+01,2.280126999999999953e+02,1.606865999999999985e+02,1.654781000000000057e+00,8.705546999999999969e+01
5.068668000000000120e+02,-3.965991000000000355e+01,2.280140000000000100e+02,1.606863999999999919e+02,1.654587999999999948e+00,1.081936000000000035e+02
4.864057000000000244e+02,-1.182729999999999926e+01,2.280149000000000115e+02,1.606859000000000037e+02,1.654455000000000009e+00,9.349186000000000263e+01
