x,y,z,rx,ry,rz
4.156546999999999912e+02,-1.094243000000000023e+02,3.491125000000000114e+02,1.601246999999999900e+02,-7.895763999999999783e+00,1.049256000000000029e+02
4.383260000000000218e+02,-9.861947999999999581e+01,3.491098000000000070e+02,1.601260000000000048e+02,-7.896317999999999948e+00,9.337300999999999362e+01
4.383256999999999834e+02,-2.928674000000000177e+01,3.506401000000000181e+02,1.606872999999999934e+02,1.654736999999999902e+00,9.334346999999999639e+01
4.463016999999999825e+02,-3.391067999999999927e+01,3.506456000000000017e+02,1.606865999999999985e+02,1.654781000000000057e+00,8.705546999999999969e+01
4.649141999999999939e+02,-4.971927000000000163e+01,3.506467000000000098e+02,1.606863999999999919e+02,1.654587999999999948e+00,1.081936000000000035e+02
4.432728000000000179e+02,-1.091060000000000052e+01,3.506472999999999729e+02,1.606859000000000037e+02,1.654455000000000009e+00,9.349186000000000263e+01
